date,pool_name,daily_apy,weekly_apy,monthly_apy,total_apy,volume_in_usd,token1,token1_tvl_in_usd,token2,token2_tvl_in_usd,token3,token3_tvl_in_usd,token4,token4_tvl_in_usd,total_tvl_in_usd
2022-01-26,link,0.001584555928120901,0.0011294326720239223,0.0023467592572190554,0.00165086248932389,0,LINK,12225110.994140053,sLINK,6366851.588962072,,0,,0,18591962.583102126
2022-01-26,usdp,0.005009876713923722,0.0028153526878069712,0.0020041061190689824,0.007373711415736617,0,USDP,27351619.57693184,3CRV,35370285.384215124,,0,,0,62721904.961146966
2022-01-26,tusd,0.003783361128816054,0.0028140399372849068,0.0024509435120079193,0.005556031066742628,721154.2105055402,,0,,0,,0,,0,0
2022-01-26,frax,0.0027421343926641306,0.004707910800936688,0.002813889166494832,0.007957593586933154,8740383.172551895,,0,,0,,0,,0,0
2022-01-26,lusd,0.026880970076712973,0.042643818885182094,0.015934723203000933,0.01363353757901753,29527216.78952717,,0,,0,,0,,0,0
2022-01-26,busdv2,0.001433091359844152,0.0034011579561976646,0.0023639547412095396,0.006150924631913135,0,,0,,0,,0,,0,0
2022-01-26,alusd,0.006903254548381366,0.004930676578277282,0.003021829211947935,0.008796694391835835,7865992.110349707,,0,,0,,0,,0,0
2022-01-26,reth,0.014901314829470103,0.011920870303326447,0.011390442688519409,0.012203664660094038,233.66685531041674,,0,,0,,0,,0,0
2022-01-26,mim,0.0060386531752172345,0.0067512385312265,0.004195312896401404,0.006360492908160431,54605110.57021871,,0,,0,,0,,0,0
2022-01-26,eurt,0.0001435438433770031,0.006171865668959553,0.014981974597472414,0.007758668409222569,636.4363803055687,,0,,0,,0,,0,0
2022-01-26,rai,0.005665369013011956,0.01091189547794702,0.010601398349294078,0.009570846923740106,1114070.9031213317,,0,,0,,0,,0,0
