date,pool_name,daily_apy,volume_in_usd,token1,token1_tvl_in_usd,token2,token2_tvl_in_usd,token3,token3_tvl_in_usd,token4,token4_tvl_in_usd,total_tvl_in_usd
2022-02-10,Curve.fi Factory Plain Pool: Sharedstake ETH/vETH2,0,0,vETH2,114685.5665114142,WETH,8814.605379037992,,0,,0,123500.1718904522
2022-02-10,Curve.fi Factory USD Metapool: QabbalahBit Wellsprings,0,0,QBIT,0.0,3Crv,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory USD Metapool: QBIT Well,0,0,QBIT,0.0,3Crv,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory Plain Pool: Badger Locked CVX,0.06510376428174869,1242.0942068812383,CVX,2049691.4874838237,bveCVX,0.0,,0,,0,2049691.4874838237
2022-02-10,Curve.fi Factory USD Metapool: wormhole v2 UST-3Pool,0.3427633461603463,16073025.746825,UST,484083769.96054,3Crv,495408658.3823108,,0,,0,979492428.3428508
2022-02-10,Curve.fi Factory USD Metapool: DSU,0,0,DSU,0.0,3Crv,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory USD Metapool: DSU,0,0,DSU,10.44053171700103,3Crv,13.309263876335816,,0,,0,23.749795593336845
2022-02-10,Curve.fi Factory Pool: Ankr Reward-Earning Staked ETH,0,0,ETH,52667.55872610716,aETHb,601597.8665235306,,0,,0,654265.4252496377
2022-02-10,Curve.fi Factory Plain Pool: d3pool,0.01654407200883945,276928.9262650837,FRAX,64170711.38477141,FEI,56266140.05449857,alUSD,61332354.33069524,,0,181769205.76996523
2022-02-10,Curve.fi Factory Plain Pool: Ankr Reward-Earning Staked MATIC,0,0,MATIC,3222.313622664954,aMATICb,0.0,,0,,0,3222.313622664954
2022-02-10,Curve.fi Factory USD Metapool: Paxos Dollar (USDP),0.09091094005773126,28862.514786187217,USDP,7558244.339349927,3Crv,3834405.295364618,,0,,0,11392649.634714546
2022-02-10,Curve.fi Factory BTC Metapool: ibBTC,0.17393974412838187,0.42690265666085775,wibBTC,206007672.30896896,crvRenWSBTC,167210838.58832225,,0,,0,373218510.8972912
2022-02-10,Curve.fi Factory Plain Pool: handleEUR,0,0,fxEUR,0.0,EURS,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory BTC Metapool: Orkan,0,0,VBTC,0.0,crvRenWSBTC,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory Plain Pool: agEUR,0,0,agEUR,0.0,sEUR,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory Plain Pool: ibZAR/ZARP,0,0,ZARP,0.0,ibZAR,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory USD Metapool: DYDX-3CRV,0,0,DYDX,0.0,3Crv,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory Plain Pool: 3EURpool,0.01832304829814113,31520.436568,agEUR,47918096.48239145,EURT,62263091.81075765,EURS,17126224.6512,,0,127307412.9443491
2022-02-10,Curve.fi Factory Plain Pool: Tokemak tWETH/WETH,0,0,tWETH,40284.84715857615,WETH,34619.261205615614,,0,,0,74904.10836419176
2022-02-10,Curve.fi Factory USD Metapool: SORA XSTUSD,0.08814586800092172,0,XSTUSD,213122.20482953588,3Crv,147454.87585242977,,0,,0,360577.0806819657
